관측소명,관측시간,위도,경도,조위(cm),수온(℃),염분(PSU),유의파고(m),유의파주기(sec),최대파고(m),최대파주기(sec),풍속(m/s),,풍향(deg),기온(℃),기압(hPa),시정(m)
안산,2022-12-01 0:00,37.1922,126.6472,563,9.1,29.8,-,-,-,-,2.4,북,354,-5.3,1032.9,-
안산,2022-12-01 0:01,37.1922,126.6472,561,9.1,29.8,-,-,-,-,1.6,북,4,-5.3,1032.9,-
안산,2022-12-01 0:02,37.1922,126.6472,560,9.1,29.8,-,-,-,-,2.9,북,353,-5.3,1032.8,-
안산,2022-12-01 0:03,37.1922,126.6472,559,9.1,29.8,-,-,-,-,3.1,북,3,-5.3,1032.7,-
안산,2022-12-01 0:04,37.1922,126.6472,557,9.1,29.8,-,-,-,-,2.9,북,354,-5.4,1032.8,-
안산,2022-12-01 0:05,37.1922,126.6472,556,9.1,29.8,-,-,-,-,2.1,북,5,-5.4,1032.9,-
안산,2022-12-01 0:06,37.1922,126.6472,554,9.1,29.8,-,-,-,-,1.8,북,4,-5.4,1032.8,-
안산,2022-12-01 0:07,37.1922,126.6472,553,9.1,29.8,-,-,-,-,2.8,북,3,-5.3,1032.8,-
안산,2022-12-01 0:08,37.1922,126.6472,552,9.1,29.8,-,-,-,-,2.4,북,1,-5.3,1032.8,-
안산,2022-12-01 0:09,37.1922,126.6472,551,9.1,29.8,-,-,-,-,1.3,북,359,-5.3,1032.9,-
안산,2022-12-01 0:10,37.1922,126.6472,549,9.1,29.8,-,-,-,-,1.7,북,7,-5.3,1032.9,-
안산,2022-12-01 0:11,37.1922,126.6472,548,9.1,29.8,-,-,-,-,2.5,북,355,-5.3,1033,-
안산,2022-12-01 0:12,37.1922,126.6472,547,9.1,29.8,-,-,-,-,1.6,북,353,-5.3,1033,-
안산,2022-12-01 0:13,37.1922,126.6472,546,9.1,29.8,-,-,-,-,1.4,북북서,346,-5.3,1032.9,-
안산,2022-12-01 0:14,37.1922,126.6472,544,9.1,29.8,-,-,-,-,2.4,북,7,-5.2,1033,-
안산,2022-12-01 0:15,37.1922,126.6472,543,9.1,29.8,-,-,-,-,2.4,북,358,-5.2,1032.9,-
안산,2022-12-01 0:16,37.1922,126.6472,541,9.1,29.8,-,-,-,-,3.2,북,356,-5.3,1032.8,-
안산,2022-12-01 0:17,37.1922,126.6472,540,9.1,29.8,-,-,-,-,3.9,북,358,-5.3,1032.8,-
안산,2022-12-01 0:18,37.1922,126.6472,538,9.1,29.8,-,-,-,-,1.7,북,6,-5.4,1032.9,-
안산,2022-12-01 0:19,37.1922,126.6472,537,9.1,29.8,-,-,-,-,3.1,북,2,-5.3,1032.8,-
안산,2022-12-01 0:20,37.1922,126.6472,536,9.1,29.8,-,-,-,-,2.6,북,356,-5.3,1032.9,-
안산,2022-12-01 0:21,37.1922,126.6472,535,9.1,29.8,-,-,-,-,2.7,북,3,-5.3,1032.9,-
안산,2022-12-01 0:22,37.1922,126.6472,533,9.1,29.8,-,-,-,-,3.1,북,2,-5.3,1032.8,-
안산,2022-12-01 0:23,37.1922,126.6472,532,9.1,29.8,-,-,-,-,3.1,북,356,-5.3,1032.9,-
안산,2022-12-01 0:24,37.1922,126.6472,531,9.1,29.8,-,-,-,-,3.9,북,3,-5.3,1032.9,-
