∞¸√¯º“∏Ì,∞¸√¯Ω√∞£,¿ßµµ,∞Êµµ,¡∂¿ß(cm),ºˆø¬(°…),ø∞∫–(PSU),¿Ø¿«∆ƒ∞Ì(m),¿Ø¿«∆ƒ¡÷±‚(sec),√÷¥Î∆ƒ∞Ì(m),√÷¥Î∆ƒ¡÷±‚(sec),«≥º”(m/s),,«≥«‚(deg),±‚ø¬(°…),±‚æ–(hPa),Ω√¡§(m)
¿Œ√µ,2022-12-01 0:00,37.451944,126.592222,608,12,29.3,-,-,-,-,6.9,∫œ∫œµø,27,-4.7,1033.4,-
¿Œ√µ,2022-12-01 0:01,37.451944,126.592222,607,12.1,29.3,-,-,-,-,8.9,∫œ∫œµø,24,-4.7,1033.2,-
¿Œ√µ,2022-12-01 0:02,37.451944,126.592222,605,12,29.3,-,-,-,-,6.8,∫œ∫œµø,25,-4.7,1033.3,-
¿Œ√µ,2022-12-01 0:03,37.451944,126.592222,604,12.1,29.3,-,-,-,-,6,∫œ∫œµø,25,-4.7,1033.3,-
¿Œ√µ,2022-12-01 0:04,37.451944,126.592222,602,12.1,29.3,-,-,-,-,6.6,∫œ∫œµø,15,-4.6,1033.3,-
¿Œ√µ,2022-12-01 0:05,37.451944,126.592222,601,12.1,29.3,-,-,-,-,8.2,∫œ∫œµø,21,-4.5,1033.3,-
¿Œ√µ,2022-12-01 0:06,37.451944,126.592222,599,12.1,29.3,-,-,-,-,6.9,∫œ∫œµø,15,-4.5,1033.3,-
¿Œ√µ,2022-12-01 0:07,37.451944,126.592222,598,12.1,29.3,-,-,-,-,8.4,∫œ,359,-4.4,1033.2,-
¿Œ√µ,2022-12-01 0:08,37.451944,126.592222,596,12.1,29.3,-,-,-,-,7.6,∫œ,3,-4.3,1033.4,-
¿Œ√µ,2022-12-01 0:09,37.451944,126.592222,596,12.1,29.3,-,-,-,-,8.3,∫œ,359,-4.3,1033.2,-
¿Œ√µ,2022-12-01 0:10,37.451944,126.592222,594,12.1,29.3,-,-,-,-,8.6,∫œ,359,-4.4,1033.2,-
¿Œ√µ,2022-12-01 0:11,37.451944,126.592222,592,12.1,29.3,-,-,-,-,9,∫œ,0,-4.4,1033.3,-
¿Œ√µ,2022-12-01 0:12,37.451944,126.592222,591,12.1,29.3,-,-,-,-,10.3,∫œ,2,-4.4,1033.2,-
