包螟家疙,包螟矫埃,困档,版档,炼困(cm),荐柯(∩),堪盒(PSU),蜡狼颇绊(m),蜡狼颇林扁(sec),弥措颇绊(m),弥措颇林扁(sec),浅加(m/s),,浅氢(deg),扁柯(∩),扁拘(hPa),矫沥(m)
傣利档,2022-11-30 0:00,37.226333,126.156556,433,-,-,-,-,-,-,4.7,辑合辑,287,-0.8,1028.1,-
傣利档,2022-11-30 0:01,37.226333,126.156556,431,-,-,-,-,-,-,6.6,辑合辑,300,-0.8,1028.1,-
傣利档,2022-11-30 0:02,37.226333,126.156556,429,-,-,-,-,-,-,4.8,辑合辑,297,-0.8,1028.3,-
傣利档,2022-11-30 0:03,37.226333,126.156556,426,-,-,-,-,-,-,4.3,辑合辑,303,-0.9,1028.3,-
傣利档,2022-11-30 0:04,37.226333,126.156556,424,-,-,-,-,-,-,5.7,合辑,305,-0.9,1028.4,-
傣利档,2022-11-30 0:05,37.226333,126.156556,422,-,-,-,-,-,-,3.9,辑合辑,292,-0.9,1028.3,-
傣利档,2022-11-30 0:06,37.226333,126.156556,422,-,-,-,-,-,-,3.4,合辑,318,-0.9,1028.5,-
傣利档,2022-11-30 0:07,37.226333,126.156556,422,-,-,-,-,-,-,4.8,合,357,-0.8,1028.3,-
傣利档,2022-11-30 0:08,37.226333,126.156556,419,-,-,-,-,-,-,2,辑,277,-0.8,1028.2,-
傣利档,2022-11-30 0:09,37.226333,126.156556,416,-,-,-,-,-,-,3,辑,275,-0.9,1028.2,-
傣利档,2022-11-30 0:10,37.226333,126.156556,414,-,-,-,-,-,-,3.5,辑,276,-0.9,1028.3,-
傣利档,2022-11-30 0:11,37.226333,126.156556,410,-,-,-,-,-,-,3,合辑,309,-0.9,1028.4,-
傣利档,2022-11-30 0:12,37.226333,126.156556,408,-,-,-,-,-,-,4.4,合辑,312,-0.8,1028.4,-
傣利档,2022-11-30 0:13,37.226333,126.156556,407,-,-,-,-,-,-,3,辑,281,-0.8,1028.4,-
傣利档,2022-11-30 0:14,37.226333,126.156556,406,-,-,-,-,-,-,4,合辑,305,-0.8,1028.4,-
傣利档,2022-11-30 0:15,37.226333,126.156556,403,-,-,-,-,-,-,5.8,辑合辑,291,-0.8,1028.6,-
傣利档,2022-11-30 0:16,37.226333,126.156556,401,-,-,-,-,-,-,6.1,辑合辑,300,-0.9,1028.6,-
傣利档,2022-11-30 0:17,37.226333,126.156556,400,-,-,-,-,-,-,3.4,辑合辑,293,-1,1028.7,-
傣利档,2022-11-30 0:18,37.226333,126.156556,398,-,-,-,-,-,-,4.4,辑合辑,284,-0.9,1028.9,-
傣利档,2022-11-30 0:19,37.226333,126.156556,396,-,-,-,-,-,-,3.1,合辑,323,-0.9,1029,-
傣利档,2022-11-30 0:20,37.226333,126.156556,396,-,-,-,-,-,-,6.4,辑合辑,286,-0.9,1028.7,-
傣利档,2022-11-30 0:21,37.226333,126.156556,395,-,-,-,-,-,-,4.7,辑,279,-0.9,1028.9,-
傣利档,2022-11-30 0:22,37.226333,126.156556,391,-,-,-,-,-,-,4,辑,280,-0.9,1028.9,-
傣利档,2022-11-30 0:23,37.226333,126.156556,389,-,-,-,-,-,-,6.4,辑合辑,294,-0.9,1028.8,-
傣利档,2022-11-30 0:24,37.226333,126.156556,388,-,-,-,-,-,-,2.1,合辑,304,-0.9,1028.9,-
傣利档,2022-11-30 0:25,37.226333,126.156556,386,-,-,-,-,-,-,3.6,辑合辑,298,-0.9,1028.9,-
傣利档,2022-11-30 0:26,37.226333,126.156556,383,-,-,-,-,-,-,5.7,辑合辑,301,-0.9,1028.9,-
傣利档,2022-11-30 0:27,37.226333,126.156556,381,-,-,-,-,-,-,7.2,辑合辑,291,-0.9,1028.9,-
傣利档,2022-11-30 0:28,37.226333,126.156556,379,-,-,-,-,-,-,5.6,辑合辑,282,-1,1028.8,-
傣利档,2022-11-30 0:29,37.226333,126.156556,379,-,-,-,-,-,-,2.1,辑合辑,289,-1.1,1029,-
傣利档,2022-11-30 0:30,37.226333,126.156556,378,-,-,-,-,-,-,3.6,合合辑,342,-1,1028.9,-
傣利档,2022-11-30 0:31,37.226333,126.156556,376,-,-,-,-,-,-,4.1,辑合辑,302,-1,1029.1,-
傣利档,2022-11-30 0:32,37.226333,126.156556,375,-,-,-,-,-,-,5.1,辑合辑,302,-1,1029,-
傣利档,2022-11-30 0:33,37.226333,126.156556,374,-,-,-,-,-,-,5.5,合,0,-1.1,1029,-
傣利档,2022-11-30 0:34,37.226333,126.156556,372,-,-,-,-,-,-,1.6,合辑,309,-1.1,1029,-
傣利档,2022-11-30 0:35,37.226333,126.156556,370,-,-,-,-,-,-,5.5,辑合辑,293,-1.1,1028.9,-
傣利档,2022-11-30 0:36,37.226333,126.156556,368,-,-,-,-,-,-,3.1,合辑,304,-1.1,1029,-
傣利档,2022-11-30 0:37,37.226333,126.156556,365,-,-,-,-,-,-,5.2,辑合辑,291,-1.1,1028.9,-
傣利档,2022-11-30 0:38,37.226333,126.156556,363,-,-,-,-,-,-,1.7,辑,272,-1.1,1029,-
傣利档,2022-11-30 0:39,37.226333,126.156556,362,-,-,-,-,-,-,3.7,辑合辑,302,-1.1,1028.9,-
傣利档,2022-11-30 0:40,37.226333,126.156556,361,-,-,-,-,-,-,5.2,辑合辑,294,-1.1,1028.9,-
傣利档,2022-11-30 0:41,37.226333,126.156556,358,-,-,-,-,-,-,5.3,辑,280,-1.1,1028.9,-
傣利档,2022-11-30 0:42,37.226333,126.156556,356,-,-,-,-,-,-,3.3,合辑,310,-1.1,1029,-
傣利档,2022-11-30 0:43,37.226333,126.156556,353,-,-,-,-,-,-,4.3,辑合辑,287,-1.1,1029.1,-
傣利档,2022-11-30 0:44,37.226333,126.156556,350,-,-,-,-,-,-,3.2,合,350,-1.2,1029.1,-
傣利档,2022-11-30 0:45,37.226333,126.156556,348,-,-,-,-,-,-,2,合合辑,332,-1.2,1029.1,-
傣利档,2022-11-30 0:46,37.226333,126.156556,347,-,-,-,-,-,-,2.2,合辑,326,-1.1,1029.1,-
傣利档,2022-11-30 0:47,37.226333,126.156556,346,-,-,-,-,-,-,5.6,辑合辑,295,-1.1,1029.1,-
傣利档,2022-11-30 0:48,37.226333,126.156556,346,-,-,-,-,-,-,2.8,辑合辑,300,-1.2,1029.1,-
傣利档,2022-11-30 0:49,37.226333,126.156556,343,-,-,-,-,-,-,4.6,辑合辑,283,-1.2,1029.1,-
傣利档,2022-11-30 0:50,37.226333,126.156556,342,-,-,-,-,-,-,4.1,辑,281,-1.3,1029.2,-
傣利档,2022-11-30 0:51,37.226333,126.156556,340,-,-,-,-,-,-,4.4,辑合辑,287,-1.3,1029.1,-
傣利档,2022-11-30 0:52,37.226333,126.156556,337,-,-,-,-,-,-,3.7,辑合辑,300,-1.2,1029.1,-
傣利档,2022-11-30 0:53,37.226333,126.156556,336,-,-,-,-,-,-,5.3,辑合辑,301,-1.3,1029,-
傣利档,2022-11-30 0:54,37.226333,126.156556,336,-,-,-,-,-,-,2.2,辑合辑,292,-1.4,1029,-
傣利档,2022-11-30 0:55,37.226333,126.156556,334,-,-,-,-,-,-,5,合,9,-1.5,1029.2,-
傣利档,2022-11-30 0:56,37.226333,126.156556,330,-,-,-,-,-,-,5.9,合合辑,338,-1.5,1029.2,-
傣利档,2022-11-30 0:57,37.226333,126.156556,329,-,-,-,-,-,-,6.5,合合辑,334,-1.5,1029.1,-
