∞¸√¯º“∏Ì,∞¸√¯Ω√∞£,¿ßµµ,∞Êµµ,¡∂¿ß(cm),ºˆø¬(°…),ø∞∫–(PSU),¿Ø¿«∆ƒ∞Ì(m),¿Ø¿«∆ƒ¡÷±‚(sec),√÷¥Î∆ƒ∞Ì(m),√÷¥Î∆ƒ¡÷±‚(sec),«≥º”(m/s),,«≥«‚(deg),±‚ø¬(°…),±‚æ–(hPa),Ω√¡§(m)
¿Œ√µº€µµ,2022-11-30 0:01,37.338056,126.586111,497,-,-,-,-,-,-,10.6,∫œ∫œº≠,332,0.2,1026.9,-
¿Œ√µº€µµ,2022-11-30 0:02,37.338056,126.586111,496,-,-,-,-,-,-,9.4,∫œ∫œº≠,335,0.3,1026.7,-
¿Œ√µº€µµ,2022-11-30 0:03,37.338056,126.586111,495,-,-,-,-,-,-,9.8,∫œ∫œº≠,336,0.1,1027,-
¿Œ√µº€µµ,2022-11-30 0:04,37.338056,126.586111,490,-,-,-,-,-,-,8.7,∫œ∫œº≠,340,-0.1,1027,-
¿Œ√µº€µµ,2022-11-30 0:05,37.338056,126.586111,490,-,-,-,-,-,-,9.3,∫œ∫œº≠,341,-0.1,1027,-
¿Œ√µº€µµ,2022-11-30 0:06,37.338056,126.586111,489,-,-,-,-,-,-,10.2,∫œ∫œº≠,336,0,1027.2,-
¿Œ√µº€µµ,2022-11-30 0:07,37.338056,126.586111,486,-,-,-,-,-,-,10.2,∫œ∫œº≠,336,0,1027,-
¿Œ√µº€µµ,2022-11-30 0:08,37.338056,126.586111,484,-,-,-,-,-,-,10.3,∫œ∫œº≠,334,0,1027.1,-
¿Œ√µº€µµ,2022-11-30 0:09,37.338056,126.586111,481,-,-,-,-,-,-,10.3,∫œ∫œº≠,334,0,1027,-
¿Œ√µº€µµ,2022-11-30 0:10,37.338056,126.586111,479,-,-,-,-,-,-,9.4,∫œ∫œº≠,335,-0.1,1027.2,-
¿Œ√µº€µµ,2022-11-30 0:11,37.338056,126.586111,479,-,-,-,-,-,-,8.5,∫œ∫œº≠,333,-0.1,1027.2,-
¿Œ√µº€µµ,2022-11-30 0:12,37.338056,126.586111,475,-,-,-,-,-,-,9,∫œ∫œº≠,345,0.1,1027.2,-
¿Œ√µº€µµ,2022-11-30 0:13,37.338056,126.586111,475,-,-,-,-,-,-,9.3,∫œ∫œº≠,335,0,1027.1,-
¿Œ√µº€µµ,2022-11-30 0:14,37.338056,126.586111,471,-,-,-,-,-,-,8.8,∫œ∫œº≠,345,0.1,1027.4,-
¿Œ√µº€µµ,2022-11-30 0:15,37.338056,126.586111,470,-,-,-,-,-,-,8.6,∫œ∫œº≠,343,0.1,1027.3,-
¿Œ√µº€µµ,2022-11-30 0:16,37.338056,126.586111,468,-,-,-,-,-,-,8,∫œ∫œº≠,340,0,1027.2,-
¿Œ√µº€µµ,2022-11-30 0:17,37.338056,126.586111,467,-,-,-,-,-,-,8.8,∫œ∫œº≠,337,0,1027.3,-
¿Œ√µº€µµ,2022-11-30 0:18,37.338056,126.586111,464,-,-,-,-,-,-,7.7,∫œ∫œº≠,339,0,1027.2,-
¿Œ√µº€µµ,2022-11-30 0:19,37.338056,126.586111,464,-,-,-,-,-,-,8.1,∫œ∫œº≠,344,0.1,1027.3,-
¿Œ√µº€µµ,2022-11-30 0:20,37.338056,126.586111,460,-,-,-,-,-,-,8.4,∫œ∫œº≠,346,0.2,1027.3,-
¿Œ√µº€µµ,2022-11-30 0:21,37.338056,126.586111,460,-,-,-,-,-,-,7.7,∫œ,350,0.1,1027.5,-
¿Œ√µº€µµ,2022-11-30 0:22,37.338056,126.586111,459,-,-,-,-,-,-,7.9,∫œ,352,0.1,1027.5,-
¿Œ√µº€µµ,2022-11-30 0:23,37.338056,126.586111,454,-,-,-,-,-,-,8.6,∫œ∫œº≠,344,0.1,1027.5,-
¿Œ√µº€µµ,2022-11-30 0:24,37.338056,126.586111,453,-,-,-,-,-,-,9.8,∫œ∫œº≠,345,0.1,1027.4,-
¿Œ√µº€µµ,2022-11-30 0:25,37.338056,126.586111,450,-,-,-,-,-,-,9.6,∫œ∫œº≠,336,-0.2,1027.2,-
¿Œ√µº€µµ,2022-11-30 0:26,37.338056,126.586111,449,-,-,-,-,-,-,9.3,∫œ∫œº≠,335,-0.2,1027.5,-
¿Œ√µº€µµ,2022-11-30 0:27,37.338056,126.586111,446,-,-,-,-,-,-,9.5,∫œ∫œº≠,335,0.1,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:28,37.338056,126.586111,445,-,-,-,-,-,-,8.8,∫œ∫œº≠,343,0.2,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:29,37.338056,126.586111,444,-,-,-,-,-,-,7.6,∫œ∫œº≠,346,-0.1,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:30,37.338056,126.586111,440,-,-,-,-,-,-,9.3,∫œ∫œº≠,338,-0.3,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:31,37.338056,126.586111,439,-,-,-,-,-,-,9.7,∫œ∫œº≠,338,-0.3,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:32,37.338056,126.586111,437,-,-,-,-,-,-,8.2,∫œ∫œº≠,347,-0.4,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:33,37.338056,126.586111,436,-,-,-,-,-,-,8.6,∫œ∫œº≠,341,-0.3,1027.7,-
¿Œ√µº€µµ,2022-11-30 0:34,37.338056,126.586111,433,-,-,-,-,-,-,9.1,∫œ∫œº≠,342,0.2,1027.7,-
¿Œ√µº€µµ,2022-11-30 0:35,37.338056,126.586111,433,-,-,-,-,-,-,8.3,∫œ,350,0.2,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:36,37.338056,126.586111,431,-,-,-,-,-,-,7.4,∫œ,350,-0.1,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:37,37.338056,126.586111,428,-,-,-,-,-,-,8.2,∫œ∫œº≠,345,-0.3,1027.6,-
¿Œ√µº€µµ,2022-11-30 0:38,37.338056,126.586111,427,-,-,-,-,-,-,9.5,∫œ∫œº≠,333,-0.2,1027.7,-
¿Œ√µº€µµ,2022-11-30 0:39,37.338056,126.586111,425,-,-,-,-,-,-,8.4,∫œ∫œº≠,343,-0.2,1027.8,-
¿Œ√µº€µµ,2022-11-30 0:40,37.338056,126.586111,423,-,-,-,-,-,-,8.4,∫œ∫œº≠,343,-0.3,1027.7,-
¿Œ√µº€µµ,2022-11-30 0:41,37.338056,126.586111,419,-,-,-,-,-,-,8.3,∫œ∫œº≠,337,-0.3,1027.7,-
¿Œ√µº€µµ,2022-11-30 0:42,37.338056,126.586111,419,-,-,-,-,-,-,10.5,∫œ∫œº≠,336,-0.1,1027.8,-
